city;year;quarter;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61;v62;v63;v64;v65;v66;v67;v68;v69;v70;v71;v72;v73;v74;v75;v76;v77;v78;v79;v80
48;88;1;1.577;-2.439;0.708;1.491;-0.472;-0.162;-0.019;-1.136;0.665;-1.354;-1.678;2.814;0.302;-0.173;0.024;-2.307;-0.793;0.559;0.875;1.597;-0.045;-0.449;-0.804;-1.123;-0.598;-0.402;-1.288;-0.753;0.634;1.375;-0.823;-0.696;0.024;-0.897;-0.637;-1.387;0.218;1.308;0.323;0.424;-0.159;0.294;0.484;-0.522;-0.238;-0.138;-1.25;-1.181;1.32;-1.643;0.463;0.5;-0.589;1.627;-0.138;0.45;1.722;-0.124;-0.856;0.063;-0.099;0.509;0.652;1.028;-0.002;0.649;-0.091;-2.818;0.242;-0.66;0.306;1.395;-0.141;-0.337;0.373;0.178;0.926;1.118;-0.525;-1.764
49;88;1;-1.297;-0.737;-0.424;-1.424;-0.559;-0.169;-0.01;-0.273;0.763;0.091;-0.593;-0.766;0.375;-1.575;0.843;-1.055;1.544;1.251;-0.34;-0.414;-0.355;-1.61;0.603;-0.499;0.255;0.08;1.137;0.915;1.346;1.893;-0.103;-0.308;-0.162;0.528;-1.802;1.377;-0.269;1.119;-0.611;0.352;1.633;-0.764;0.585;0.065;-0.371;0.223;0.305;0.929;-0.783;-0.732;-0.726;0.139;-0.656;-1.198;0.948;-0.19;0.68;-0.742;-0.928;-0.563;1.339;2.648;-0.931;0.572;-0.727;0.207;1.969;3.444;-0.847;0.896;-0.019;-0.877;-1.547;0.29;0.092;0.012;1.019;0.475;0.247;0.826
52;88;1;0.002;0.152;-0.509;-0.335;0.601;-0.519;0.84;-1.172;1.059;0.364;-0.057;-0.711;0.563;0.427;0.659;-0.005;0.424;-2.018;1.345;-0.865;0.433;-1.323;-1.25;-0.003;0.269;-0.444;0.035;0.869;0.246;-1.051;-0.103;-0.815;0.163;0.045;-0.847;-0.472;-0.253;-0.146;0.22;0.508;1.35;-1.03;-0.422;0.282;-0.182;-2.242;0.382;-0.86;0.402;-2.097;-1.415;-1.431;1.295;0.292;-1.137;-1.998;-0.525;-1.227;0.388;2.244;0.659;1.546;-0.061;-1.012;0.426;-0.191;-0.77;0.474;0.86;-0.646;1.625;-0.566;-0.153;0.33;0.142;1.239;0.237;-1.565;0.583;-0.942
53;88;1;0.153;-0.458;-1.045;-0.646;0.979;0.709;-2.011;1.835;0.718;-0.774;-0.85;-0.297;0.5;0.135;0.265;-0.382;0.56;0.787;-0.788;-0.023;-1.736;0.077;-0.507;0.163;0.214;-0.147;-0.026;1.334;-1.283;0.777;0.057;-0.643;1.315;-1.307;0.409;0.708;0.256;0.416;-0.248;-1.961;-0.842;0.455;2.342;-0.239;-1.527;-0.344;0.505;0.034;-1.846;-2.4;-0.236;0.369;0.727;-0.35;-0.927;1.94;1.111;-0.04;0.143;-0.747;-0.237;-0.351;0.506;-0.907;0.377;1.144;-0.032;-0.65;-0.722;-1.128;-1.05;-1.86;-1.598;0.091;-0.386;0.436;-0.079;-0.47;2.129;-1.037
54;88;1;-1.061;-0.257;-1.754;0.584;-0.983;-0.585;0.38;0.698;-0.309;-1.533;0.707;-1.576;-0.67;0.079;0.324;-0.341;-0.665;-0.712;1.444;1.344;0.572;0.602;0.195;0.608;2.509;-1.691;-1.062;-0.048;-1.154;-0.537;0.119;0.973;2.117;0.144;0.417;0.545;-0.206;0.08;2.559;0.26;-0.749;-0.872;0.025;-1.183;-0.145;0.345;0.739;1.444;-0.44;-1.601;-1.61;0.524;-0.529;-1.149;-1.803;1.418;-0.045;-1.791;-1.642;-0.478;-0.018;0.06;-0.203;-0.088;1.465;0.473;-0.118;1.672;1.207;1.71;-0.837;1.225;0.712;0.485;1.812;0.523;-0.481;-1.191;0.095;1.346
55;88;1;-0.015;-0.744;0.965;-0.887;0.307;1.052;-0.525;0.642;0.558;-1.754;0.879;0.208;-1.119;0.289;2.151;0.759;-0.594;-0.62;1.318;-0.205;1.023;-0.046;0.445;2.079;-0.569;-1.822;-0.625;1.565;0.079;-0.29;-1.456;1.201;0.004;1.274;0.107;0.492;-0.693;0.513;-0.869;0.342;0.27;-1.155;-0.328;-0.853;-2.056;-1.469;0.531;-0.261;-0.81;0.525;1.153;0.469;1.147;1.798;-1.345;-0.584;0.848;0.291;1.246;-2.876;0.119;1.26;0.611;-1.038;0.47;-0.74;0.119;0.486;-2.496;-1.682;0.311;-1.151;-0.241;0.057;-0.134;2.381;-0.541;0.834;-2.261;0.934
56;88;1;-0.619;1.06;-0.288;-0.806;0.529;1.085;-1.717;-0.324;-0.116;-0.534;0.024;-1.579;1.932;0.515;-1.893;1.361;-0.083;0.037;1.054;-0.753;0.04;0.237;-1.71;-1.465;0.471;0.198;1.69;0.836;1.637;0.178;-1.111;-1.617;-1.145;0.154;-0.454;-1.812;2.179;-1.422;0.834;0.64;0.181;0.235;-0.069;0.299;0.538;-0.049;1.033;0.253;-0.206;-1.362;-2.077;1.043;0.202;-1.324;-1.224;-0.707;-0.164;-0.731;0.706;-0.277;-1.427;-1.878;-1.32;-1.056;-0.189;-1.24;-1.713;0.127;-0.522;0.895;2.272;-0.389;0.304;0.436;1.241;-0.228;-1.134;0.406;-0.008;-0.658
58;88;1;-0.017;-1.182;0.884;0.474;-1.138;0.334;1.012;-0.036;-0.453;0.543;0.253;-1.661;0.227;0.823;-1.423;-0.994;2.373;0.383;-0.432;-0.023;-1.063;0.175;0.285;0.275;-0.734;0.346;-0.774;-2.369;-1.091;1.434;-1.138;0.011;-0.15;1.052;-1.209;-0.279;0.062;0.42;-0.254;-0.349;-2.113;0.885;-0.361;-0.221;0.799;0.453;1.355;-0.274;1.355;1.101;-0.053;1.431;-0.986;2.186;1.231;-0.118;1.793;-1.44;0.438;-0.595;0.02;-0.544;-0.347;-0.736;0.107;1.55;1.018;0.648;-0.311;-0.103;0.843;-0.68;1.252;-0.774;-0.014;1.353;-0.821;-0.016;-1.303;0.714
61;88;1;0.978;0.805;1.395;0.042;-1.979;-1.213;0.84;-0.991;-0.621;0.77;1.017;0.126;1.564;1.049;0.308;1.044;1.105;-0.183;-0.194;0.579;0.877;-1.371;0.093;2.102;-1.969;-0.169;-1.409;-0.819;-0.597;0.77;-0.619;-0.061;-0.98;0.733;-0.134;-1.646;0.355;-1.966;-1.451;0.754;-1.395;-0.607;0.552;-0.753;0.334;0.647;-1.328;0.442;-0.19;-1.582;1.084;-0.767;-1.206;0.398;0.317;-0.751;-0.262;-0.297;-0.961;0.782;-0.376;-0.28;-1.101;-0.37;1.959;0.09;1.815;1.335;-1.049;-0.529;-0.578;-0.356;2.079;0.517;0.452;0.615;0.659;0.382;-0.35;-3.069
63;88;1;1.209;0.799;-0.962;0.576;-0.846;0.648;0.292;0.921;2.539;0.001;0.352;-1.961;-0.093;-0.738;-0.573;0.833;0.548;0.489;1.009;-0.663;-0.024;-0.08;0.256;-1.801;-0.443;0.893;0.646;1.095;-1.278;1.49;0.136;1.63;0.187;-0.132;0.579;-0.095;-0.301;-2.038;1.095;0.304;-0.131;0.199;0.358;-1.171;0.91;0.408;-1.959;-0.956;-1.026;-0.25;0.948;0.722;0.841;0.123;-2.373;-0.34;0.236;-0.151;0.698;-0.191;0.945;0.734;0.375;0.813;-0.801;0.732;0.136;-1.478;0.47;0.065;-1.255;-0.486;-0.635;1.014;1.148;0.942;-0.604;1.038;-1.047;-1.723
65;88;1;-0.129;0.943;0.556;0.332;-0.618;0.675;2.461;0.686;-0.371;1.097;-0.338;0.755;0.706;0.775;-1.478;-0.275;-0.406;-0.68;1.146;1.185;-0.427;0.246;0.1;0.962;-0.636;1.33;1.183;-0.382;-0.638;0.34;-0.447;-0.124;-0.29;-0.148;0.169;-0.626;-0.901;-0.205;-0.199;2.136;1.493;0.685;-0.666;-2.667;-0.872;0.508;0.918;0.384;-0.341;0.865;0.117;0.908;-0.811;-0.368;-0.761;-0.317;1.788;0.766;-1.256;0.173;-0.078;-0.302;0.394;1.13;0.765;0.762;-0.601;-1.107;-0.051;-0.855;-0.21;-2.1;0.194;0.221;0.247;-0.175;1.041;0.088;0.417;-0.309
1;88;2;-1.291;-1.174;-0.322;0.413;-1.416;0.847;-0.638;0.121;0.136;1.136;0.513;-2.548;0.242;-1.946;-0.002;1.973;1.635;3.158;-0.117;-0.705;-0.306;-1.343;1.254;1.947;-0.078;0.577;-0.294;0.461;0.278;1.081;0.869;-0.295;-0.559;-0.357;-0.036;-0.981;0.392;-0.929;0.784;0.896;-0.316;-0.897;-1.498;0.907;1.276;0.512;-0.494;0.781;0.228;0.485;1.791;-0.428;0.604;-0.807;0.261;-0.705;1.143;-0.839;0.219;-0.309;-1.359;0.594;-1.276;-0.323;-0.595;2.309;0.534;-0.237;-0.574;2.261;0.182;-0.343;0.612;0.15;-0.805;-1.38;-1.639;0.365;0.832;0.514
3;88;2;0.102;-0.18;-0.192;1.083;0.437;-0.088;0.131;-0.146;-1.252;-0.013;1.681;-0.744;-0.354;-1.527;0.795;-0.429;1.883;-0.163;0.26;-0.47;-0.149;-0.529;0.545;-0.209;-0.611;0.239;-0.017;0.095;0.485;-0.771;1.161;-0.879;-0.668;-0.786;0.574;1.516;-1.74;-1.017;1.284;-0.128;0.635;0.379;0.726;0.601;-0.729;0.06;0.142;0.03;-0.41;0.321;2.254;1.209;-1.387;1.673;0.947;1.623;2.157;-0.801;1.756;-0.823;0.775;0.229;-0.331;0.075;1.062;-0.209;0.316;-0.593;-0.41;1.078;2.543;0.644;0.242;-0.09;-0.271;0.723;1.81;1.528;0.394;1.776
4;88;2;-0.043;0.641;-0.22;1.299;-1.524;-0.622;1.358;0.869;0.386;-2.522;0.484;-0.092;-0.138;0.686;-1.023;-1.236;-0.01;0.101;-0.5;-0.26;1.694;1.063;1.041;1.855;0.367;-1.752;-0.418;0.445;-0.088;-1.015;-0.502;0.334;-0.287;1.324;0.639;1.179;1.192;0.838;1.056;0.898;-0.469;0.282;0.422;-0.565;1.474;0.614;-1.312;0.81;0.217;0.717;-2.569;0.076;-0.806;-0.485;-1.24;0.193;0.134;0.576;0.358;0.965;0.85;-0.023;0.214;-0.343;-0.183;-0.406;0.554;0.73;2.007;-0.733;-0.564;0.226;-0.598;-1.623;-0.865;0.676;-1.246;-0.577;-0.161;-0.713
5;88;2;-0.96;-0.833;-0.151;1.167;0.302;-0.886;1.547;-0.208;-0.525;-0.499;-2.631;-1.043;0.307;-1.444;-1.009;-1.829;-2.2;0.39;-1.151;-1.264;-0.847;0.289;1.531;0.014;0.85;-1.776;-0.478;0.988;-0.489;1.013;1.264;1.949;-1.313;0.341;0.096;-1.046;-0.758;0.15;-0.233;-0.115;-1.188;-1.54;-1.174;0.464;-2.827;-2.329;0.193;-1.016;0.848;0.425;-0.61;-0.336;-0.599;-0.241;0.659;-0.702;-0.995;-1.137;-0.854;-0.645;0.469;-1.194;-1.656;0.201;-1.473;0.099;1.452;0.884;-1.147;0.326;0.624;-1.311;-0.006;-1.272;-0.295;0.675;-0.101;-1.667;2.27;-0.208
7;88;2;0.067;0.783;-1.193;-1.555;-0.21;-0.812;0.878;0.691;-1.222;1.33;0.464;1.399;0.888;-0.741;-0.113;-0.192;0.337;0.798;1.824;0.313;-0.683;-0.583;-1.174;-2.057;1.929;0.387;0.391;0.6;-1.257;-0.706;-0.853;1.163;0.897;-0.092;1.631;-0.023;0.609;0.185;-0.969;0.001;0.511;1.159;-0.173;-2.021;-0.582;-0.917;0.515;0;-0.107;0.495;-0.746;-0.09;1.701;0.539;1.239;-0.984;-0.511;-0.395;0.052;0.943;-1.791;-1.597;0.279;-0.297;-0.289;-0.656;0.619;1.226;1.259;0.433;-1.655;0.451;0.731;-1.254;0.938;0.689;1.272;1.858;1.383;1.58
8;88;2;-0.331;-0.598;2.799;-1.209;0.006;-0.776;-0.187;0.792;0.275;-0.325;0.768;-0.551;0.173;0.142;0.328;-2.456;1.449;-0.209;2.056;2.099;-1.474;-0.818;1.311;-1.234;0.899;0.67;1.226;0.573;0.963;-0.14;-1.015;-1.553;-0.345;-1.781;-0.674;-0.683;-0.577;-0.769;0.201;-0.293;-0.724;0.352;0.863;-0.316;-0.001;0.411;1.474;-0.003;0.566;-1.053;0.347;-0.572;-0.649;-0.274;-1.096;0.096;-1.14;0.105;-0.303;2.128;-0.592;-1.866;-0.332;-0.953;-1.264;-1.218;-1.111;0.573;2.158;-0.08;0.131;-0.75;0.858;0.717;0.766;1.02;0.441;2.679;1.551;0.56
11;88;2;0.807;1.312;0.619;-0.763;-1.914;-0.056;0.669;0.624;0.187;0.033;-1.139;0.533;-0.616;-0.54;-0.643;0.167;1.309;-2.598;1.574;0.951;-0.447;0.201;0.031;-0.018;-0.818;-0.242;0.34;-0.297;-1.129;1.726;0.26;-0.875;-0.371;1.308;-0.478;1.35;1.304;-0.67;-0.403;-0.324;-0.313;1.303;1.583;1.354;-0.17;0.344;-2.146;-0.735;0.767;-0.64;0.559;0.781;1.757;-0.736;1.073;-1.345;-1.479;-0.063;-0.078;-1.493;-1.945;-0.071;-0.413;1.023;-1.186;-0.619;0.961;-0.522;-0.054;0.944;-1.26;-0.141;0.834;0.386;-0.023;-0.98;-0.129;0.581;0.903;-2.713
12;88;2;1.768;-0.546;1.049;-1.135;1.058;-0.403;0.428;-0.075;-2.108;-0.105;-0.072;1.331;0.736;-1.174;1.467;-0.252;0.713;-0.246;0.187;0.09;-0.644;-0.828;-0.082;-1.633;0.349;0.007;1.627;0.09;1.226;-0.753;-1.965;0.4;-0.7;0.865;-0.326;0.593;-0.023;1.094;-0.517;-0.362;-1.305;-0.257;2.1;-0.043;-0.91;1.646;0.939;-0.029;-1.96;-1.177;0.935;0.568;-0.954;-0.215;0.067;-0.529;1.695;-0.421;-0.17;1.83;-0.428;0.95;-0.026;-0.416;1.756;-1.34;0.46;0.511;-1.504;0.622;1.178;2.246;-0.338;0.182;-0.286;1.204;0.455;0.141;0.925;1.38
13;88;2;-0.117;-0.334;1.073;1.264;-1.213;0.034;-0.658;-0.743;-1.211;-0.075;-0.582;0.281;-0.526;-0.187;0.325;1.137;0.002;0.712;0.278;-0.085;-1.375;0.053;-1.079;0.223;-0.15;-0.398;0.548;-0.272;-1.115;0.531;0.806;0.773;-0.104;-0.847;1.025;-1.304;0.501;-0.113;-0.481;0.133;1.588;0.202;1.2;-0.504;-0.941;0.194;-1.239;-0.099;-0.4;0.065;0.506;0.422;0.17;0.79;0.528;-0.667;0.343;-0.801;2.832;-0.692;0.113;0.504;-0.287;-0.266;0.543;0.105;-0.001;0.084;1.364;0.516;-0.778;0.078;0.305;-0.729;0.067;1.645;2.055;-0.87;1.097;0.688
14;88;2;1.529;-1.165;0.672;-1.483;-0.297;-0.166;-0.443;-0.985;1.001;0.457;0.891;-1.686;-0.336;-1.614;-0.557;0.031;1.295;1.796;-0.665;0.867;0.56;-1.557;0.119;-0.079;0.182;1.053;-0.138;-0.137;2.291;-1.085;-2.077;1.119;0.641;0.089;0.039;0.653;-1.805;1.595;-1.954;-0.449;0.028;-0.125;0.658;-0.072;-0.846;0.763;-0.331;-1.141;0.902;0.403;-1.418;-0.608;0.611;0.522;-0.522;1.651;-1.194;-1.292;0.547;-2.886;-2.885;0.531;1.637;-0.319;-0.603;-0.346;0.887;-0.194;0.569;0.957;-0.471;0.624;-0.104;0.359;2.337;0.188;-0.743;-1.246;-0.679;-1.35
15;88;2;0.268;0.855;0.5;-0.59;0.405;1.058;-1.719;1.766;1.302;-0.198;-1.206;0.533;0.342;-0.378;-0.606;-0.773;0.694;0.369;0.382;0.306;-0.391;-1.099;-0.243;-0.572;-0.243;-0.678;0.391;0.221;0.662;-1.879;0.752;0.325;0.213;0.59;-0.02;-0.957;-2.255;0.64;0.423;-0.776;-0.554;-1.128;0.914;0.686;-1.186;1.374;-2.206;-0.512;0.292;0.797;-0.671;-0.645;0.044;-0.751;0.618;-1.634;1.381;0.87;1.899;1.481;0.538;0.444;-1.4;0.287;2.407;0.789;0.713;-1.343;-0.005;0.838;-0.499;-0.16;0.222;-3.035;0.289;-0.19;2.018;-0.373;-0.597;0.604
16;88;2;-1.935;0.055;0.34;-1.675;0.197;-1.113;0.603;1.248;0.37;-0.385;-0.714;0.326;-1.501;-0.74;0.2;-1.748;0.177;0.511;-0.234;-0.769;0.4;-0.49;0.965;-0.319;1.067;-0.76;0.748;1.463;0.45;0.595;-0.96;0.01;0.366;-1.589;0.212;-2.013;2.508;0.32;-3.039;-1.03;-1.485;0.204;-0.971;-0.963;-0.227;-0.03;-0.475;0.573;1.155;-0.491;-1.213;1.345;-0.586;-0.786;-1.12;1.571;-0.327;0.689;0.556;-0.076;-0.021;0.66;-1.023;0.889;0.551;0.12;-0.244;-1.594;1.439;-0.236;0.539;0.758;-1.318;1.181;1.784;-1.691;0.596;-0.426;-0.28;1.845
18;88;2;3.087;-0.692;0.59;-0.317;0.368;-0.498;-0.514;0.69;0.424;-0.111;2.24;-0.68;1.288;1.211;-0.279;1.444;0.331;-1.061;-0.499;0.35;1.594;-0.046;-0.283;0.019;-0.005;-0.273;-0.891;-0.968;0.319;0.411;-0.863;-0.133;-0.445;0.167;-0.111;-0.102;-0.98;-1.237;-0.528;0.346;-0.512;0.305;0.482;-0.218;-1.623;-0.138;0.291;0.459;-1.921;-0.981;-0.548;0.318;1.224;-1.268;-0.533;0.093;-1.156;-1.558;-0.181;0.191;-1.416;0.385;-0.174;2.03;-1.021;1.445;-0.839;-0.011;-1.114;-0.26;0.674;-1.531;1.388;0.715;-0.739;-0.087;0.763;0.384;0.358;-1.621
20;88;2;0.551;3.232;-0.091;-1.274;0.232;-0.407;-1.069;1.559;0.118;0.759;0.289;-1.852;-2.427;0.291;-1.639;0.956;1.158;0.529;-1.642;-1.119;-0.635;0.04;-0.499;0.112;0.829;-0.707;-0.189;-1.176;-1.053;-0.692;0.114;0.62;0.088;-1.497;0.575;0.519;-0.372;1.541;1.625;-2.02;0.415;0.06;0.064;0.445;0.161;-1.146;-0.067;1.153;1.196;-1.275;-0.02;0.49;0.686;1.262;-0.177;-0.563;0.126;0.035;0.46;-0.783;-0.456;-0.481;-0.357;-0.51;1.281;0.627;-0.056;0.094;1.259;0.741;0.317;-0.616;-0.103;-0.261;-0.288;-0.222;-0.059;-1.618;-0.991;0.402
23;88;2;-1.628;-0.136;0.952;0.39;-1.108;0.006;1.371;-1.136;-1.446;-0.042;-0.736;-0.674;1.519;0.304;-0.796;-0.268;0.395;-2.796;-0.051;0.071;-0.078;-0.653;-0.568;-1.402;-2.639;0.083;-0.944;-1.633;0.526;1.177;0.453;0.035;0.17;-1.166;-0.249;0.086;-0.974;-0.859;-1.079;0.427;0.187;-1.107;-1.26;-0.438;-0.562;0.734;0.03;-0.211;-0.85;0.79;-0.284;1.061;-0.178;0.789;-0.692;0.549;0.219;-1.389;-0.226;0.778;1.423;0.707;-3.241;1.09;1.523;-1.341;2.236;-0.924;-0.201;1.294;0.412;0.193;-0.448;-1.209;0.083;-1.498;1.155;-1.39;-0.483;1.733
24;88;2;-0.035;1.528;-1.194;-0.4;0.501;1.059;0.167;-0.117;-0.028;-0.806;0.22;-0.392;1.539;-1.926;1.285;0.68;-0.141;0.879;0.126;1.093;1.459;2.449;-0.82;-2.367;-1.136;-0.313;-0.679;-0.79;-0.273;-0.575;-0.551;0.836;0.563;-0.11;1.858;-0.806;0.17;1.689;-1.495;1.255;-1.998;1.759;-1.203;-0.919;0.232;0.92;-0.022;-0.826;-0.558;0.508;1.812;-0.685;-1.003;1.032;0.431;-0.522;0.857;-0.482;0.928;-1.723;1.504;0.052;0.522;0.174;-0.526;0.431;0.45;-1.805;2.023;0.201;0.17;-1.171;-0.753;-0.243;-0.156;-0.152;-0.577;0.527;0.18;-0.404
25;88;2;0.75;-2.046;0.221;0.087;0.885;0.353;0.091;0.248;-0.041;0.661;-0.899;-0.024;-0.416;-1.817;-0.494;0.742;-0.118;-0.399;0.41;0.679;-0.686;-1.046;0.689;-1.065;-1.048;-1.792;-2.114;0.29;0.035;-1.183;-0.128;1.859;0.468;-0.831;0.317;-0.931;-0.543;-1.232;-1.025;-0.284;0.707;-0.905;-1.771;-0.591;-1.143;1.083;0.123;1.798;0.312;-0.051;-1.232;-0.799;-1.513;-0.126;-2.48;0.598;0.349;0.799;0.228;1.654;0.508;-0.294;-1.409;0.062;0.822;-0.277;-1.371;-1.506;1.518;1.26;0.325;-0.576;-0.524;0.126;1.048;0.202;1.923;-0.552;-0.496;0.528
26;88;2;-1.086;0.405;0.951;-1.064;1.154;0.084;2.347;-0.865;-0.28;0.364;2.089;-0.837;1.32;-1.952;0.099;1.538;-0.078;-0.892;0.878;-1.405;-2.251;0.892;-1.347;-0.089;1.417;-2.062;0.28;-1.939;1.181;2.267;-0.517;0.001;0.191;-1.564;0.672;-0.051;1.964;-1.513;0.543;-0.215;1.081;1.628;-0.572;1.869;-0.297;-1.065;0.265;-0.488;0.527;0.484;0.311;-0.801;-0.247;-1.832;-0.021;1.735;0.624;1.001;-1.822;0.394;0.915;0.327;-0.655;0.669;0.226;-0.563;-0.67;-0.527;-1.185;0.382;-0.223;-0.57;0.208;1.037;1.456;-0.934;0.193;-0.463;-1.62;0.813
27;88;2;0.405;0.528;-1.02;0.413;0.542;-0.434;-1.435;-0.889;1.029;-0.373;-0.963;0.33;-0.445;0.341;-2.652;0.767;-0.058;0.984;1.555;1.448;0.104;-0.186;0.074;0.251;-0.986;0.205;-0.31;0.405;-2.089;-1.05;2.077;-1.624;0.22;-0.428;0.635;1.157;1.069;1.157;-0.502;2.342;0.875;0.583;-0.325;-1.93;-1.339;0.498;0.592;2.841;0.635;-0.321;1.173;-0.55;-0.224;1.327;-0.404;0.011;-0.28;0.359;0.298;-1.618;1.063;-0.574;0.016;-0.073;-0.644;-1.496;0.928;-1.023;-0.815;-0.016;0.037;-0.29;-0.019;-0.461;1.569;0.586;-0.083;-0.21;-0.89;-1.532
29;88;2;-0.905;1.224;0.933;-0.461;-0.01;0.664;-0.894;-2.259;-0.256;0.114;0.316;-0.136;-1.6;-1.596;-1.569;1.404;-1.27;2.276;-0.113;0.344;0.132;0.815;0.689;-1.718;0.128;0.19;-0.475;0.475;-0.701;-0.514;1.375;-0.21;-0.407;-0.196;-1.111;1.023;1.725;0.21;0.486;1.574;-0.318;-0.09;0.463;0.047;-0.524;-0.367;0.347;2.216;-1.123;0.977;0.764;-0.678;0.463;0.265;0.124;0.501;-1.14;-0.797;0.396;-1.247;-0.187;-1.362;-0.881;0.885;0.258;0.981;0.086;0.542;0.951;-0.589;-0.332;2.045;-0.461;-0.729;-0.085;-0.089;0.153;-1.94;-0.21;-0.159
30;88;2;0.348;-0.537;-0.896;0.113;-2.201;1.045;0.656;-0.451;-0.171;-1.868;0.725;0.004;0.448;1.516;-0.115;1.132;-1.063;-0.993;-0.019;-0.201;0.918;0.319;1.303;-1.08;-1.079;1.285;-1.044;-0.6;-1.583;-0.939;-0.363;1.178;-0.75;0.357;-0.617;1.334;0.169;0.677;-0.203;1.398;1.363;-0.533;-0.646;0.414;0.955;0.751;-0.876;1.012;0.41;0.715;0.208;-0.836;0.892;1.373;0.522;-0.418;-0.233;0.42;0.539;0.747;0.367;0.665;-1.315;0.184;0.095;1.462;-0.045;0.086;-0.838;-0.391;-1.171;-1.183;0.272;0.149;-1.865;0.089;1.084;0.443;-1.042;0.297
31;88;2;-0.605;0.287;-0.762;0.533;0.091;0.695;0.636;-1.012;0.5;-1.873;1.536;1.52;-1.478;0.228;-0.518;-0.271;-1.097;0.335;-0.232;-0.012;-0.542;0.214;-0.413;-0.257;-1.175;-0.113;-0.922;0.781;-0.357;0.593;-0.183;-1.429;0.124;0.471;-0.264;-1.451;-0.284;0.115;-0.09;-0.101;-0.335;0.324;1.366;-1.356;-1.345;0.791;-0.459;-1.263;1.386;1.087;-0.501;1.367;-0.89;-0.582;-0.126;-0.271;0.669;-0.136;3.706;0.305;-0.358;-0.189;2.796;0.08;0.417;0.247;0.131;-1.685;0.698;0.129;-0.28;0.625;-1.18;0.382;-0.315;0.624;0.681;-0.878;-0.173;1.678
32;88;2;1.11;-0.249;-2.232;-0.104;-1.885;-0.086;-0.746;-0.025;0.654;0.398;0.192;-1.286;1.53;-1.072;-0.472;0.377;-0.953;-1.953;0.959;1.332;1.136;-1.742;-0.236;-1.107;-0.083;-0.703;-1.127;0.025;-0.049;-1.519;0.146;-0.873;-0.48;0.22;-0.199;1.579;-0.101;-0.524;-1.389;0.694;0.804;-0.354;0.171;0.672;-1.766;-0.189;1.343;0.651;-0.892;-2.105;0.206;-0.174;0.968;-0.235;0.676;-1.24;-0.791;0.574;0.892;0.628;0.845;-0.744;-0.913;0.408;-0.523;-0.753;0.372;-0.465;2.14;-0.131;-0.1;0.517;0.233;-0.159;1.077;1.274;-0.579;-0.125;-0.653;0.603
33;88;2;-0.739;0.651;-0.049;-0.972;1.028;-0.492;0.265;0.413;-0.072;-0.527;1.238;-1.105;1.486;0.286;-1.179;0.405;1.467;1.54;-1.4;1.287;2.941;-0.168;-1.17;-0.061;-0.084;0.755;-0.259;-0.203;0.427;0.5;-1.455;-1.986;-1.232;2.571;0.54;0.39;-0.232;-1.16;-0.495;1.032;-0.359;0.58;1.003;0.49;-0.549;-0.718;-0.125;-0.451;-0.108;-0.209;1.46;0.249;0.224;-1.46;-0.088;0.127;1.685;0.738;-1.008;-1.72;-0.178;-1.421;-0.317;0.808;0.382;-1.243;-0.368;-2.387;-0.164;0.324;1.158;-0.533;-0.714;1.234;-0.058;0.092;1.126;0.224;-1.761;-0.522
34;88;2;-0.616;-0.91;-1.189;0.694;-0.402;-2.009;-0.297;1.537;-0.414;-0.559;-0.709;-0.211;-0.259;1.627;-0.029;-0.053;0.453;0.401;0.696;0.397;0.772;1.684;-0.212;-0.811;-0.73;-1.139;1.672;-1.706;-1.573;-0.81;0.011;-0.177;0.936;-0.189;0.267;-0.644;0.496;0.796;0.214;0.122;-0.399;0.926;1.921;-0.452;0.756;-0.135;-0.262;1.221;0.013;0.284;-0.461;-1.162;-0.34;1.332;0.454;0.877;-0.473;-1.255;0.09;0.106;-1.591;-0.365;2.347;-1.952;-0.305;0.899;-0.718;0.74;0.492;0.669;-0.653;1.145;0.617;-0.272;0.568;2.335;1.172;-0.49;0.429;0.209
35;88;2;1.357;-0.777;2.223;-0.705;0.051;0.61;1.632;1.109;0.316;0.878;2.484;-0.306;-0.905;1.648;-0.675;-1.101;-0.337;-1.121;0.869;-1.042;-0.143;2.753;-0.923;0.036;-1.758;0.973;-0.306;0.731;-0.241;0.116;-2.06;0.157;1.131;0.036;-1.358;0.024;-0.879;-1.058;0.678;2.268;0.336;-0.806;-0.502;1.176;0.872;-0.316;-0.067;-0.323;1.277;0.549;0.369;-0.782;0.2;1.204;-1.146;-1.252;-1.185;0.548;-0.002;-0.743;-0.527;-1.162;-0.699;-1.892;0.866;1.056;0.999;-0.866;0.018;0.157;0.32;0.398;0.829;-1.258;1.679;-0.952;-0.91;1.795;0.652;1.232
